;de;para;distancia
265;38250;28082;1.793
266;38250;43125;1.633
267;38250;43078;3.126
268;38065;28072;2.756
269;38065;28477;2.482
270;38050;43019;0.621
271;38050;44411;1.056
272;38069;38513;0.839
273;38069;43052;2.028
274;38069;43138;1.451
275;38059;43282;0.0
276;38059;46188;2.105
277;38245;43034;1.626
278;38245;43069;1.961
279;38395;11619;2.432
280;38395;13179;2.456
281;38395;42785;1.33
282;38066;38644;0.936
283;38386;28088;5.206
284;38386;28476;2.52
285;38604;28051;1.252
286;38604;43032;1.997
287;38604;44092;0.82
288;38483;44406;1.497
289;38642;42926;0.848
290;38552;43017;1.475
291;38552;44418;1.583
292;38513;38069;1.148
293;38513;43134;1.314
294;38513;47570;2.677
295;38643;28044;1.514
296;38643;44419;1.992
297;38573;9876;1.887
298;38573;45823;2.112
299;38646;36143;3.297
300;38646;44973;1.049
301;38459;38554;0.969
302;38459;49473;1.1
303;38603;42786;1.525
304;38603;43008;1.209
305;38603;49059;1.489
306;38486;43112;2.754
307;38554;38459;1.004
308;38554;43103;1.713
309;38554;43138;1.51
310;38554;43069;1.608
311;38644;3868;1.662
312;38644;38066;0.936
313;38644;43115;3.732
314;38602;32095;1.125
315;38602;43108;1.633
316;38453;44397;1.939
317;38484;6948;2.027
318;38484;38249;2.923
319;38484;43091;3.068
320;42788;45310;4.544
321;42788;47865;2.425
322;42786;38603;1.471
323;42786;43067;2.667
324;42783;3891;1.742
325;42783;11000;1.783
326;42780;28117;2.185
327;42780;38236;2.533
328;42790;43129;2.166
329;42790;47515;2.935
330;42778;32872;1.234
331;42784;43121;1.921
332;42784;43016;2.161
333;42784;44408;1.393
334;42787;47674;2.206
335;42781;28047;1.78
336;42781;42927;1.07
337;42779;3866;3.114
338;42785;28110;1.224
339;42785;28060;1.91
340;42785;38395;1.33
341;42789;28048;1.357
342;42789;43137;1.654
343;42782;12229;1.106
344;42782;28046;1.949
345;42782;43021;1.404
346;43146;44072;1.734
347;43087;18562;2.503
348;43087;46567;3.357
349;43120;13862;2.61
350;43120;43053;3.005
351;43046;43097;0.905
352;43046;43155;1.369
353;43046;45232;1.557
354;43011;43148;2.315
355;43011;43051;0.91
356;43011;47567;1.616
357;43007;43058;1.425
358;43007;43055;1.591
359;43102;28129;1.569
360;43102;43081;1.491
361;43102;43763;1.925
362;43102;47915;0.0
363;43153;47964;4.464
364;43021;42782;1.902
365;43021;44405;1.51
366;43021;45365;2.168
367;43031;43122;0.98
368;43031;43038;1.696
369;43031;43045;1.684
370;43031;44407;1.455
371;43125;6948;1.138
372;43125;38250;1.512
373;43145;43847;3.05
374;43113;43026;1.565
375;43113;48541;1.679
376;43135;3889;2.143
377;43135;43026;1.642
378;43135;46194;1.341
379;43154;44398;2.36
380;43154;44073;1.156
381;43137;42789;1.737
382;43137;43118;1.472
383;43137;43128;2.101
384;43008;38603;1.643
385;43008;43018;1.84
386;43008;44412;1.539
387;43059;42926;3.282
388;43059;44071;2.139
389;43022;42924;1.372
390;43022;43631;2.474
391;43064;28047;0.51
392;43064;43006;1.895
393;43064;45602;1.6
394;43060;9876;1.19
395;43060;42927;1.582
396;43060;44405;1.706
397;43126;43077;1.124
398;43126;49313;1.272
399;43117;28129;2.61
400;43123;43096;1.64
401;43123;43017;1.74
402;43134;38513;1.044
403;43050;43055;0.891
404;43127;43138;1.011
405;43133;38063;3.315
406;43133;43149;1.026
407;43094;43095;0.95
408;42853;38062;3.182
409;42853;43111;2.168
410;42853;47673;1.346
411;43111;42853;1.905
412;43131;43018;1.615
413;43115;38644;3.097
414;43115;43149;2.518
415;43121;42784;1.83
416;43121;44399;0.878
417;43068;32872;1.099
418;43068;35788;1.285
419;43152;45258;2.234
420;43152;45519;1.611
421;43029;35729;2.2
422;43142;38053;1.962
423;43142;43005;1.347
424;43083;5309;1.199
425;43083;50966;0.53
426;43088;43847;1.741
427;43028;38060;1.797
428;43028;44420;1.624
429;43020;3887;1.5
430;43020;43057;1.499
431;43020;45287;0.691
432;43104;3890;1.392
433;43104;43074;2.177
434;43122;43031;1.302
435;43122;42854;1.307
436;43078;38250;3.191
437;43036;43090;2.56
438;43114;38063;3.185
439;43116;35788;1.27
440;43116;35722;1.567
441;43116;47913;1.231
442;43092;49473;3.301
443;43034;36143;2.155
444;43034;38245;1.363
445;43034;43132;2.518
446;43095;7015;1.234
447;43095;43094;0.95
448;43009;38053;2.055
449;43009;43143;1.356
450;43084;44028;1.128
451;43042;43298;0.873
452;43147;44254;2.565
453;43147;45512;1.276
454;43067;13344;1.728
455;43067;42786;1.879
456;43148;43011;2.182
457;43148;43151;1.179
458;43148;44403;1.155
459;43030;43049;1.855
460;43129;16742;2.127
461;43129;42790;2.035
462;43129;47569;1.326
463;43027;45365;2.785
464;43027;47803;2.116
465;43076;28107;1.252
466;43019;38050;0.908
467;43019;44074;0.965
