;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
337;31860;43314;3002926;-2.356.462;-4.639.715;UBS PREF CELSO AUGUSTO DANIEL;RUA JORGE MARACCINI PONFILIO;210;COHAB JUSCELINO;(11)25567997;8465050.0;SP;São Paulo;2016;5;-23.5634542;-46.3967268;Rua Jorge Maraccini Pomfilio, 210 - Conj. Hab. Juscelino Kubitschek, São Paulo - SP, 08465-050, Brazil
338;31871;43555;3105504;-234.067;-467.554;UBS RECANTO DOS HUMILDES;RUA PAVAO;36;PERUS;(11)39175870;5210000.0;SP;São Paulo;2016;5;-23.4149775;-46.7513499;Av. Pavão, 36 - Vila Perus, São Paulo - SP, 02675-031, Brazil
339;31909;43560;3121135;-2.358.308;-46.406.079.999.999.900;UBS GRAFICOS;RUA FRANCISCO JOSE VIANA;708;CIDADE TIRADENTES;(11)22855685;8471530.0;SP;São Paulo;2016;5;-23.6087599;-46.39897;R. Francisco José Viana, 708 - Cidade Tiradentes, São Paulo - SP, 08471-533, Brazil
340;31911;43274;2815273;-23.459;-4.658.664;UBS ZUMBI DOS PALMARES;R HUMBERTO DE ALMEIDA;279;CHACARA SANTANA;(11)58972564;5831000.0;SP;São Paulo;2016;5;-23.6719871;-46.7459635;R. Humberto de Almeida, 279 - Jardim Sao Luiz, São Paulo - SP, 05831-000, Brazil
341;31933;43997;3614948;-2.356.152;-46.656.009.999.999.900;UBS LUAR DO SERTAO;RUA LUAR DO SERTAO;980;CHACARA STA MARIA;( 11) 58719484;5879450.0;SP;São Paulo;2016;5;-23.6929205;-46.794497;R. Luar do Sertão, 980 - Chacara Santa Maria, São Paulo - SP, 05879-450, Brazil
342;32048;43893;3503488;-23.537.821.769.713.600;-467.223.429.679.857;UBS ALTO DE PINHEIROS;AVN QUEIROZ FILHO;313;V LE0POLDINA;30227074;5319000.0;SP;São Paulo;2016;5;-23.5372532;-46.7224954;Av. Queiroz Filho, 313 - Vila Hamburguesa, São Paulo - SP, 02675-031, Brazil
343;32106;43713;3323331;-234.192.359.447.472;-4.659.046.411.514.140;UBS JARDIM DAS PEDRAS;RUA CLOVIS SALGADO;220;JARDIM DAS PEDRAS;(11)29922494;2267020.0;SP;São Paulo;2016;5;-23.4192573;-46.5903814;R. Clóvis Salgado, 220 - Jardim das Pedras, São Paulo - SP, 02367-000, Brazil
344;32151;43763;3385264;-2.360.455;-465.937;UBS ALMIRANTE DELAMARE;RUA ALMIRANTE MARIATH;62;HELIOPOLIS;(11)2062-8018;4218040.0;SP;São Paulo;2016;5;-23.6037792;-46.5960692;Rua Almirante Mariath, 62 - Ipiranga, São Paulo - SP, 04218-040, Brazil
345;32175;43631;3219887;-2.349.796;-4.642.624;UBS CDHU PALANQUE;RUA PONTE DA AMIZADE;2;JARDIM PALANQUE;1127362573;8375000.0;SP;São Paulo;2016;5;-23.5950837;-46.4206207;Av. Pte. da Amizade, 2 - Jardim Marilu, São Paulo - SP, Brazil
346;32252;43847;3469042;-2.355.842;-4.664.134;UBS SANTO ELIAS;RUA FABIO DE ALMEDIA MAGALHAES;494;JD SANTO ELIAS;(11)39040016;5135370.0;SP;São Paulo;2016;5;-23.4959822;-46.7501471;R. Fábio de Almeida Magalhães, 494 - Jardim Santo Elias, São Paulo - SP, 05135-370, Brazil
