;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
398;33574;45217;5975220;-235.497.347;-466.289.618;UBS SE;RUA FREDERICO ALVARENGA;259;PARQUE DOM PEDRO;(11) 31013013;1020030.0;SP;São Paulo;2016;5;-23.5509786;-46.6282551;R. Frederico Alvarenga, 259 - Sé, São Paulo - SP, 01020-030, Brazil
399;33599;45310;6090621;-23.547.415.100.000.000;-46.638.254.100.000.000;UBS REPUBLICA;RUA LIBERO BADARO;282;CENTRO;31010997;1008000.0;SP;São Paulo;2016;5;-23.5471595;-46.6365732;R. Líbero Badaró, 282 - Centro, São Paulo - SP, 01008-000, Brazil
400;33641;45441;6280188;-237.798.428.535.455;-466.741.061.210.619;UBS CHACARA DO SOL;RUA JOAO CARLOS DE OLIVEIRA;3;CHACARA DO SOL;1159314151;4855515.0;SP;São Paulo;2016;5;-23.7798487;-46.6740579;R. João Carlos de Oliveira, 3 - Grajaú, São Paulo - SP, Brazil
401;33642;45515;6332420;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS BARRAGEM;RUA TRES;2;BARRAGEM;5977-3212/ 5977-2182;4877110.0;SP;São Paulo;2016;5;-23.8743323;-46.6489361;Barragem, São Paulo - SP, Brazil
402;33662;45287;6039111;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM HELGA;RUA THOMAS DE ARAUJO;53;JD HELGA;(11) 58422956;5794380.0;SP;São Paulo;2016;5;-23.6414076;-46.7715618;Rua Thomaz de Araújo, 53 - Jardim Helga, São Paulo - SP, 05794-380, Brazil
403;33677;45517;6332447;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM SANTA FE;RUA CONDE DE LANCASTRE;214;JARDIM SANTA FE;5921-9504;4890290.0;SP;São Paulo;2016;5;-23.8319419;-46.71193040000001;R. Condé de Lancastre, 214 - Jardim Santa Fe (Zona Sul), São Paulo - SP, 04890-290, Brazil
404;33714;45365;6194990;-23.567.386.499.999.900;-4.657.038.318.211.270;AMA UBS INTEGRADA CHACARA CRUZEIRO DO SUL ZELIA L M DORO;RUA MERCEDES LOPES;969;VILA SANTANA;(11)26415130;3614000.0;SP;São Paulo;2016;5;-23.513849;-46.5318377;R. Mercedes Lopes, 969 - Vila Santana, São Paulo - SP, 03614-000, Brazil
405;33732;45518;6332501;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS VILA MARCELO;RUA AMADO BENEDITO VILAS BOAS;616;VILA MARCELO;5979-8972/ 5922-3576;4866000.0;SP;São Paulo;2016;5;-23.7880492;-46.7222204;R. Amado Benedito Vilas Bôas, 616 - Jardim Marcelo, São Paulo - SP, Brazil
406;33739;45339;6165516;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS VILA CAMPESTRE;R ARTUR MENDES DA SILVA;206;VILA CAMPESTRE;;4332080.0;SP;São Paulo;2016;5;-23.6602133;-46.650443;R. Artur Nunes da Silva, 206 - Jabaquara, São Paulo - SP, 04332-080, Brazil
407;33742;45556;6365817;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J ELEDY;RUA SEBASTIAO ADVINCULA CUNHA;470;JD ELEDY;5823-4937;5856140.0;SP;São Paulo;2016;5;-23.6547107;-46.78454060000001;R. Sebastião Advíncula da Cunha, 470 - Jardim Eledy, São Paulo - SP, 05856-140, Brazil
408;33747;45443;6283616;-234.870.421.886.437;-464.329.218.864.427;AMA UBS INTEGRADA PARQUE PAULISTANO;RUA SILVEIRA PIRES;265;PARQUE PAULISTANO;(011)2025-9469;8080160.0;SP;São Paulo;2016;5;-23.4871521;-46.43217749999999;R. Silveira Píres, 265 - Parque Paulistano, São Paulo - SP, 08081-160, Brazil
409;33761;45309;6090591;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS CHACARA SANTO AMARO;RUA LUIZ CARLOS DE ALMEIDA;51;CHACARA SANTO AMARO;(11)5974-9922;4875120.0;SP;São Paulo;2016;5;-23.821353;-46.673458;R. Luís Carlos Almeida, 51 - Colônia (Zona Sul), São Paulo - SP, 04875-150, Brazil
410;33785;45520;6332471;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS MARSILAC;ESTRADA ENGENHEIRO MARSILAC;14487;MARSILAC;5975-2281;4891000.0;SP;São Paulo;2016;5;-23.9066644;-46.7079458;Estrada Engenheiro Marsilac, 14487 - Emburá, São Paulo - SP, Brazil
411;33796;45512;6329527;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM DAS PALMAS;RUA FRANCISCO SALES;10;JARDIM DAS PALMAS;(11) 58438340;5749280.0;SP;São Paulo;2016;5;-23.6221715;-46.7458416;R. Francisco de Sáles, 10 - Jardim das Palmas, São Paulo - SP, 05749-280, Brazil
412;33812;45522;6332528;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS VILA ROSCHEL;RUA ALICE BASTIDE;290;VILA ROSCHEL;5920-2604;4891140.0;SP;São Paulo;2016;5;-23.8408039;-46.734928;R. Alice Bastide, 290 - Vila Roschel, São Paulo - SP, Brazil
413;33826;45232;5992842;-23.663.531.541.823.600;-467.627.048.492.418;UBS PARQUE MARIA HELENA;RUA BENEDITO MATARAZZO;371;PARQUE MARIA HELENA;55108380;5854090.0;SP;São Paulo;2016;5;-23.6630795;-46.762355;R. Dr. Benedito Matarazzo, 371 - Parque Maria Helena, São Paulo - SP, 05854-090, Brazil
414;33849;45366;6195008;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J MACEDONIA;RUA SORIANO DE ALBUQUERQUE;77;JARDIM MACEDONIA;(11)58247707;5894440.0;SP;São Paulo;2016;5;-23.6532552;-46.7899332;R. Soriano de Albuquerque, 77 - Jardim Macedonia, São Paulo - SP, Brazil
415;33869;45516;6332439;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM DAS FONTES;RUA MABEL NORMANDO;122;JARDIM DAS FONTES;5975-4221;4891000.0;SP;São Paulo;2016;5;-23.8687296;-46.753003;R. Mabel Normando, 122 - Jardim das Fontes, São Paulo - SP, 04894-450, Brazil
416;33876;45575;6380417;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS J VALQUIRIA;AV CARLOS LACERDA;3093;JD VALQUIRIA;;5789001.0;SP;São Paulo;2016;5;-23.6579467;-46.7753963;Av. Carlos Lacerda, 3093 - Pirajussara, São Paulo - SP, 05789-000, Brazil
417;33889;45519;6332463;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM SILVEIRA;RUA BONIFACIO ASIOLI;162;SILVEIRA;5921-5294;4889000.0;SP;São Paulo;2016;5;-23.8504786;-46.7132829;R. Bonifácio Asioli, 162 - Jardim Silveira, São Paulo - SP, 04892-040, Brazil
418;33892;45257;6018912;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS JARDIM EMBURA;ESTRADA BENEDITO SCHUNCK;8;JARDIM EMBURA;5975-2192/ 5975-2153;4893050.0;SP;São Paulo;2016;5;-23.8805586;-46.7415585;R. Benedito Schunck, 8 - Emburá, São Paulo - SP, 04893-050, Brazil
419;33921;45521;6332498;-23.567.386.499.999.900;-4.657.038.318.211.270;UBS NOVA AMERICA;RUA EDUARDO COLLIER FILHO;14;CIDADE NOVA AMERICA;5977-3507/ 5977-0031;4895020.0;SP;São Paulo;2016;5;-23.8687384;-46.6782227;R. Eduardo Colier Filho, 14 - Parada Cinquenta e Sete, São Paulo - SP, 04897-360, Brazil
420;33974;45823;6592899;-234.913.337.230.676;-465.045.690.536.486;AMA UBS INTEGRADA VILA SILVIA;RUA BELEM SANTOS;222;VILA SILVIA;2545-6838;3821170.0;SP;São Paulo;2016;5;-23.4916477;-46.5045905;R. Belém Santos, 222 - Vila Silvia, São Paulo - SP, 03821-170, Brazil
421;34048;45602;6408168;-235.223.615.169.518;-4.646.922.826.766.820;AMA UBS INTEGRADA AGUIA DE HAIA;RUA TANTAS PALAVRAS;59;CIDADE A E CARVALHO;37563264;8223510.0;SP;São Paulo;2016;5;-23.5221372;-46.4692967;R. Tantas Palavras, 59 - Conj. Hab. Aguia de Haia, São Paulo - SP, 08223-510, Brazil
422;34254;45783;6564410;-23.617.022.037.505.300;-4.671.989.679.336.410;UBS PARAISOPOLIS III;RUA SILVEIRA SAMPAIO;660;JARDIM MORUMBI;(11) 37421323;5656010.0;SP;São Paulo;2016;5;-23.6170952;-46.7181842;R. Silveira Sampaio, 660 - Fazenda Morumbi, São Paulo - SP, 05656-010, Brazil
423;34337;46119;6822991;-23.774.703.741.072.800;-467.012.715.339.647;UBS J NOVO HORIZONTE;RUA CARUANENSE;186;JARDIM NOVO HORIZONT;59382208;4857300.0;SP;São Paulo;2016;5;-23.7748411;-46.7010695;R. Caruanense, 186 - Jardim Novo Horizonte, São Paulo - SP, 04857-300, Brazil
424;34471;46188;6873286;-23.487.707.376.479.300;-46.449.229.717.253.200;UBS JARDIM LAPENNA;RUA SERRA DA JURUOCA;367;SAO MIGUEL PAULISTA;20583722;8071180.0;SP;São Paulo;2016;5;-23.4876566;-46.44915719999999;R. Serra da Juruoca, 367 - Jardim Lapena, São Paulo - SP, Brazil
425;34474;46354;6998186;-237.638.676.166.528;-467.075.586.318.956;UBS VILA NATAL;AVENIDA PROFESSORA MARTA MARIA BERNARDES;246;VILA NATAL;(11) 5527-4071;4863000.0;SP;São Paulo;2016;5;-23.7639671;-46.7074129;Av. Profa. Marta Maria Bernardes, 246 - Vila Natal, São Paulo - SP, 04863-220, Brazil
426;34611;46194;6879810;-2.353.969;-4.649.641;UBS NOVA ESPERANCA PAULISTANO II;RUA MIRACI DIAMANTE;94;JD PAULISTANO II;(11)39725526;2812220.0;SP;São Paulo;2016;5;-23.4550072;-46.7105555;Rua Miraci, 94 - Jardim Paulistano (Zona Norte), São Paulo - SP, 02812-220, Brazil
427;34707;46512;2042975;-2.357.068;-4.661.125;UBS OSWALDO MARASCA JUNIOR;AV D PEDRO I;594;IPIRANGA;(11)22728619;1552000.0;SP;São Paulo;2016;5;-23.570538;-46.6115553;Av. Dom Pedro I, 594 - Vila Monumento, São Paulo - SP, 01552-001, Brazil
428;34920;46500;2027453;-2.371.242;-4.671.025;CECCO INTERLAGOS;AVENIDA ATLANTICA;4988;INTERLAGOS;(11)56667166;4805000.0;SP;São Paulo;2016;5;-23.7099032;-46.71185209999999;Av. Atlântica, 4988 - Interlagos, São Paulo - SP, 04772-005, Brazil
429;34933;46567;2091321;-2.355.226;-4.667.541;CS SES GERALDO DE PAULA SOUZA;AV DR ARNALDO;925;PACAEMBU;(11)30851134;1255000.0;SP;São Paulo;2016;5;-23.5532005;-46.67344629999999;Av. Dr. Arnaldo, 925 - Sumaré, São Paulo - SP, Brazil
430;35557;47567;2788071;-23.473.489.999.999.900;-4.668.616;UBS MARIA CECILIA DONNANGELO;RUA RUI DE MORAES APOCALIPSE;2;BRASILANDIA;(11)39217759;2842260.0;SP;São Paulo;2016;5;-23.4734032;-46.6840088;R. Rui de Morais Apocalipse, 2 - Jardim do Tiro, São Paulo - SP, 02842-260, Brazil
431;35621;47514;2752298;-2.358.745;-4.649.199;UBS J TIETE II;AUGUSTO FERREIRA RAMOS RUA;9;JARDIM TIETE;(11)20170093;3947030.0;SP;São Paulo;2016;5;-23.5877109;-46.4920295;R. Augusto Ferreira Ramos, 9 - Jardim Nove de Julho, São Paulo - SP, 03948-000, Brazil
432;35623;47515;2752344;-2.357.069;-4.657.608;UBS V BERTIOGA DOMINGOS DELASCIO CEO TIPO II;RUA FAROL PAULISTANO;410;ALTO DA MOOCA;(11)69651066;3192060.0;SP;São Paulo;2016;5;-23.5709198;-46.5755075;R. Farol Paulistano, 410 - Vila Oratorio, São Paulo - SP, 03192-060, Brazil
433;35638;47565;2787598;-2.360.375;-466.233;UBS PROF JANDIRA MASSUR V GUMERCINDO;RUA DOM LUCIO DE SOUZA;372;VILA GUMERCINDO;(11)5062-72332;4129040.0;SP;São Paulo;2016;5;-23.6038502;-46.62348799999999;Rua Dom Lúcio de Sousa, 372 - Vila Gumercindo, São Paulo - SP, 04129-040, Brazil
434;35657;47569;2788918;-2.355.871;-46.553.059.999.999.900;UBS V FORMOSA I DR ANTONIO DA SILVEIRA E OLIVEIRA;RUA ACURUI;720;VILA FORMOSA;(11)66734130;3355000.0;SP;São Paulo;2016;5;-23.5614377;-46.55281129999999;Rua Acuruí, 720 - Vila Formosa, São Paulo - SP, 03355-030, Brazil
435;35683;47570;2788950;-2.351.652;-4.660.512;AMA UBS INTEGRADA VILA GUILHERME;R JOAO VENTURA BATISTA;615;VILA GUILHERME;(11)69015883;2054100.0;SP;São Paulo;2016;5;-23.5162683;-46.6053681;R. João Ventura Batista, 615 - Vila Guilherme, São Paulo - SP, 02054-100, Brazil
436;35742;47566;2787601;-23.678.420.000.000.000;-4.664.464;AMA UBS INTEGRADA JD MIRIAM MANOEL SOARES DE OLIVEIRA;AV SANTO AFONSO;419;AMERICANOPOLIS;(11)56267158;4426000.0;SP;São Paulo;2016;5;-23.6785496;-46.644627;Av. Santo Afonso, 419 - Jardim Miriam, São Paulo - SP, 04426-000, Brazil
437;35825;47568;2788543;-236.531;-4.678.116;AMA UBS INTEGRADA SAO VICENTE DE PAULA;RUA VICENTE DA COSTA;289;IPIRANGA;(11) 22734592;4266050.0;SP;São Paulo;2016;5;-23.5909888;-46.6090233;R. Vicente da Costa, 289 - Ipiranga, São Paulo - SP, 04266-050, Brazil
438;35932;47919;6144055;-2.361.147;-4.649.405;AMA SAPOPEMBA;RUA JOAO LOPES DE LIMA;1151;JARDIM SAPOPEMBA;11 2018-5674;3976020.0;SP;São Paulo;2016;5;-23.6114911;-46.49400929999999;R. João Lopes de Lima, 1151 - Jardim Sapopemba, São Paulo - SP, 03976-020, Brazil
439;35957;47916;6135722;-2.351.756;-4.650.626;AMA HOSPITALAR TIDE SETUBAL;RUA DOUTOR JOSE GUILHERME EIRAS;123;SAO MIGUEL PAULISTA;(112058-4364;8010130.0;SP;São Paulo;2016;5;-23.4970781;-46.4402295;R. Dr. José Guilherme Eiras, 123 - Vila Dr. Eiras, São Paulo - SP, 08010-220, Brazil
440;35992;47880;5882281;-2.345.651;-4.668.581;AMA UBS INTEGRADA JARDIM ELISA MARIA;RUA ROMULO NALDI;57;BRASILANDIA;3981-0967 / 3981-095;2873250.0;SP;São Paulo;2016;5;-23.4539373;-46.6828404;R. Rômulo Naldi, 57 - Conj. Promorar Estrada da Parada, São Paulo - SP, 02873-250, Brazil
441;36006;47921;6148344;-2.346.442;-46.654.540.000.000.000;AMA JARDIM PERI;AVENIDA PERI RONCHETTI;914;JD PERI;11- 22311822;2633000.0;SP;São Paulo;2016;5;-23.4642145;-46.6546145;Av. Peri Ronchetti, 914 - Jardim Peri, São Paulo - SP, Brazil
442;36017;47920;6146317;-23.434.479.999.999.900;-4.678.895;AMA PARQUE ANHANGUERA;RUA PIERRE RENOIR;100;JD BRITANIA;(11) 39117734;5269030.0;SP;São Paulo;2016;5;-23.4312857;-46.7876481;Av. Pierre Renoir, 100 - Jardim Britania, São Paulo - SP, 02675-031, Brazil
443;36039;47918;6143180;-2.350.004;-4.651.675;AMA ENG GOULART JOSE PIRES;RUA AUGUSTO CORREA LEITE;538;ENGENHEIRO GOULART;(11)20381626;3726100.0;SP;São Paulo;2016;5;-23.5001716;-46.51682659999999;Rua Augusto Correa Leite, 538 - Eng. Goulart, São Paulo - SP, 03726-100, Brazil
444;36054;47674;3446905;-23.526.329.999.999.900;-4.670.064;COORD REGIONAL DE SAUDE OESTE;RUA DR RENATO PAES DE BARROS;77;ITAIM BIBI;(11)30731178;4530000.0;SP;São Paulo;2016;5;-23.5792987;-46.6748141;R. Dr. Renato Paes de Barros, 77 - Itaim Bibi, São Paulo - SP, 04530-000, Brazil
445;36055;47964;6365825;-2.365.469;-4.678.452;UAD CAPELA DO SOCORRO;GUARUVA;429;CIDADE DUTRA;56665051;4807030.0;SP;São Paulo;2016;5;-23.7114735;-46.70031780000001;Rua Guaruvá, 429 - Cidade Dutra, São Paulo - SP, 04807-030, Brazil
446;36068;47850;5662699;-2.359.844;-4.663.963;AMA SANTA CRUZ;RUA PEDRO DE TOLEDO;309;V CLEMENTINO;(11) 5082-1072;4039030.0;SP;São Paulo;2016;5;-23.598795;-46.6397055;Rua Pedro de Toledo, 309 - Vila Clementino, São Paulo - SP, 04038-031, Brazil
447;36087;47923;6148395;-2.344.939;-4.659.574;AMA J JOAMAR;RUA ADAUTO BEZERRA DELGADO;240;PQ CASA DE PEDRA;(11)2991-5100;2320110.0;SP;São Paulo;2016;5;-23.4489663;-46.5961289;R. Adauto Bezerra Delgado, 240 - Parque Casa de Pedra, São Paulo - SP, 02320-110, Brazil
448;36175;47925;6156959;-23.585.620.000.000.000;-4.673.216;AMA JD PERI PERI;RUA JOAO GUERRA;147;JD PERI PERI;11 3744-3021;5535100.0;SP;São Paulo;2016;5;-23.5855969;-46.7323157;R. João Guerra, 147 - Butantã, São Paulo - SP, 05535-100, Brazil
449;36196;47915;6133622;-2.361.358;-4.659.414;AMA SACOMA;ESTRADA DAS LAGRIMAS;1403;SACOMA;25912016;4232000.0;SP;São Paulo;2016;5;-23.6136235;-46.5937525;Estr. das Lágrimas, 1403 - Ipiranga, São Paulo - SP, 04244-000, Brazil
450;36206;47647;3273997;-2.363.748;-46.779.579.999.999.900;CECCO CAMPO LIMPO;AV CARLOS LACERDA;678;CAMPO LIMPO;;5789000.0;SP;São Paulo;2016;5;-23.636989;-46.7795195;Av. Carlos Lacerda, 678 - Pirajussara, São Paulo - SP, Brazil
451;36210;47678;3474674;-2.368.572;-46.770.109.999.999.900;UNIDADE DE PRONTO ATENDIMENTO JARDIM ANGELA;ESTRADA GUAVIRITUBA;49;VL SANTA LUCIA;(11) 58315665;4937000.0;SP;São Paulo;2016;5;-23.683928;-46.7591707;Estr. do Guavirutuba, 49 - Vila Bom Jardim, São Paulo - SP, 04937-000, Brazil
452;36229;47914;6133525;-236.589;-4.674.306;AMA J SAO LUIZ;RUA LUIZ ANTONIO VERNEY;98;JARDIM SAO LUIZ;(11) 55111153;5846380.0;SP;São Paulo;2016;5;-23.6606813;-46.7437523;Rua Luís Antonio Verney, 98 - Jardim Casablanca, São Paulo - SP, 05846-380, Brazil
453;36236;47980;6415431;-2.365.559;-4.674.123;SAD SERVICO DE ATENCAO DOMICILIAR M BOI MIRIM;RUA DEOCLECIANO DE OLIVEIRA FILHO;641;PQ STO ANTONIO;(11)58110390;5834000.0;SP;São Paulo;2016;5;-23.6695044;-46.7562815;R. Deocleciano de Oliveira Filho, 641 - Parque Santo Antônio, São Paulo - SP, 05834-000, Brazil
454;36245;47913;6133460;-2.369.642;-4.666.037;UPA PEDREIRA DR CESAR ANTUNES DA ROCHA;AVENIDA NOSSA SENHORA DO SABARA;4901;VILA EMIR;11) 5611-8656;4447021.0;SP;São Paulo;2016;5;-23.6949697;-46.6768222;Av. Nossa Sra. de Sabará, 4901 - Vila Emir, São Paulo - SP, Brazil
455;36255;47657;3317102;-23.644.070.000.000.000;-4.674.386;SUPERVISAO TECNICA DE SAUDE CAMPO LIMPO;RUA NOSSA SRA BOM CONSELHO;59;CHACARA NOSSA SENHOR;(11)58149801;5763470.0;SP;São Paulo;2016;5;-23.6472033;-46.7568419;R. Nossa Sra. do Bom Conselho, 59 - Campo Limpo, São Paulo - SP, 05763-470, Brazil
456;36258;47803;5268125;-2.352.665;-4.655.124;AMA MAURICE PATE;RUA FREI GERMANO;50;PENHA;(11)20975802;3604050.0;SP;São Paulo;2016;5;-23.5265316;-46.5507584;R. Frei Germano, 50 - Penha de Franca, São Paulo - SP, 03604-030, Brazil
457;36260;47673;3446867;-2.365.128;-46.707.840.000.000.000;COORD REGIONAL DE SAUDE SUL;RUA FERNANDES MOREIRA;1470;GRANJA JULIETA;11-20751200;4716003.0;SP;São Paulo;2016;5;-23.6287645;-46.70774890000001;R. Fernandes Moreira, 1470 - Chácara Santo Antônio (Zona Sul), São Paulo - SP, 04716-003, Brazil
458;36269;47922;6148352;-2.361.235;-4.669.028;AMA LAUZANE PAULISTA;RUA VALORBE;80;LAUZANE PAULISTA;2232-4694;2442140.0;SP;São Paulo;2016;5;-23.4752797;-46.64171839999999;R. Valorbe, 80 - Lauzane Paulista, São Paulo - SP, 02442-140, Brazil
459;36279;47924;6148891;-2.346.891;-46.603.790.000.000.000;AMA WAMBERTO DIAS DA COSTA;RUA PAULO CESAR;60;JARDIM TREMEMBE;(11)2203-9305;2311240.0;SP;São Paulo;2016;5;-23.4686977;-46.6033936;R. Paulo César, 60 - Vila Mazzei, São Paulo - SP, Brazil
460;36298;47865;5713870;-2.352.496;-4.665.178;AMA BORACEA DR LUIZ BACALLA;RUA RIBEIRO DE ALMEIDA;14;BARRA FUNDA;11-33921854;1137020.0;SP;São Paulo;2016;5;-23.5248373;-46.6517329;R. Dr. Ribeiro de Almeida, 14 - Barra Funda, São Paulo - SP, Brazil
461;36303;47917;6135978;-2.352.608;-4.662.038;AMA PRES JUSCELINO KUBITSCHEK;AV UTARO KANAI;286;COHAB JUSCELINO;(11)25554474;8465000.0;SP;São Paulo;2016;5;-23.5665013;-46.3926396;Rua Utaro Kanai, 900 - Conj. Hab. Juscelino Kubitscheck de Oliveira, São Paulo - SP, Brazil
462;36414;48063;6703607;-23.676.820.000.000.000;-4.665.266;ASSISTENCIA DOMICILIAR CIDADE ADEMAR;NESTOR SAMPAIO PENTEADO;S/N;AMERICANOPOLIS;11) 5622-1988;4409060.0;SP;São Paulo;2016;5;-23.6777351;-46.6520697;R. Dr. Nestor Sampaio Penteado - Americanópolis, São Paulo - SP, 04409-060, Brazil
463;36562;48137;6926622;-2.360.734;-4.659.237;AMA SANTA MARCELINA;RUA CACHOEIRA DA ILHA;71;ITAQUERA;20706458;8270110.0;SP;São Paulo;2016;5;-23.5568257;-46.460424;R. Cachoeira da Ilha, 71 - Vila Carmosina, São Paulo - SP, 08270-110, Brazil
464;36662;48186;6974511;-2.370.151;-4.674.776;UBS VILA DIONISIA II;RUA SETE DE DEZEMBRO;73;VNC;22081943;2617060.0;SP;São Paulo;2016;5;-23.4677314;-46.6588242;R. Sete de Dezembro, 73 - Cachoeirinha, São Paulo - SP, 02617-080, Brazil
465;36718;48660;7136617;-2.356.919;-4.666.135;UBS VILA CANAA;RUA CONTOS GAUCHESCOS;630;VILA CANAA;11-5565-0485;4369000.0;SP;São Paulo;2016;5;-23.6544837;-46.6640397;R. Contos Gauchescos, 630 - Vila Santa Catarina, São Paulo - SP, 04369-000, Brazil
466;36722;48541;7097778;-2.362.728;-4.669.165;UBS JARDIM RINCAO;RUA ARROIO DO PALMA;67;TAIPAS;39415172;2991050.0;SP;São Paulo;2016;5;-23.4351529;-46.72783889999999;R. Arroio da Palma, 67 - Jardim Rincão, São Paulo - SP, 02991-050, Brazil
467;37051;48633;7128940;-23.685.570.000.000.000;-4.666.153;UBS JARDIM MIRIAM II;AVENIDA CUPECE;5185;JARDIM PRUDENCIA;56236959 56236816;4365001.0;SP;São Paulo;2016;5;-23.678995;-46.6400376;Av. Cupecê, 5185 - Jardim Prudência, São Paulo - SP, 04365-001, Brazil
468;37253;49473;7407629;-2.354.198;-4.663.503;UBS JARDIM JULIETA;R BALTHAZAR FIDELIS;258;JARDIM GUANCA;;2151080.0;SP;São Paulo;2016;5;-23.4963539;-46.5683404;Rua Balthazar Fidelis, 258 - Jardim Guanca, São Paulo - SP, 02151-080, Brazil
469;37319;49313;7357761;-2.353.327;-4.666.469;UBS JD NOVO PANTANAL PEDREIRA;AVENIDA PROFESSOR CARDOZO DE MELLO NETO;674;JARDIM SANTA TEREZIN;(011) 5672-7092;4474180.0;SP;São Paulo;2016;5;-23.6994133;-46.6401396;R. Prof. Cardozo de Melo Neto, 674 - Jardim Santa Terezinha (Pedreira), São Paulo - SP, 04474-180, Brazil
470;37412;49059;7270941;-23.548.000.000.000.000;-46.636;UBS INTEGRAL JD MARINGA VL TALARICO;MUANA;214;J MARINGA;1122693944;3525090.0;SP;São Paulo;2016;5;-23.5532051;-46.51506380000001;Rua Muaná, 214 - Jardim Maringa, São Paulo - SP, 03525-090, Brazil
471;37803;49153;7302541;-2.350.362;-4.659.894;UBS JARDIM EDITE;RUA CHARLES COULOMB;80;CIDADE MONCOES;11-43298860;4576030.0;SP;São Paulo;2016;5;-23.6132959;-46.6945165;R. Charles Coulomb, 80 - Cidade Monções, São Paulo - SP, 04576-030, Brazil
472;38188;50966;7889844;-23.582.926;-464.909.974;SAD SAO MATEUS;AV MATEO BEI;838;SAO MATEUS;1137930947;3943000.0;SP;São Paulo;2016;5;-23.5907988;-46.489472;Av. Mateo Bei, 838 - Cidade São Mateus, São Paulo - SP, 03949-100, Brazil
473;39103;50604;7739834;-23.559.060.100.000.000;-46.415.369.500.000.000;CER II GUAIANASES;R MACABU;35;JARDIM SAO CARLOS;20169559;8411470.0;SP;São Paulo;2016;5;-23.5578912;-46.4129543;R. Macabu, 35 - Jardim Sao Carlos (Zona Leste), São Paulo - SP, Brazil
474;39164;50448;7672578;-2.354.198;-4.663.503;UBS SAO REMO;RUA BALTAZAR RABELO;171;RIO PEQUENO;(11)37662217;5360170.0;SP;São Paulo;2016;5;-23.563712;-46.7438228;R. Baltazar Rabêlo, 171 - Vila Butantã, São Paulo - SP, 05360-170, Brazil
475;39974;1633;2788632;-23.538.439.999.999.900;-4.670.368;UBS VILA SANTA MARIA;RUA PROF DARIO RIBEIRO;670;VNC;39656035;2559000.0;SP;São Paulo;2016;5;-23.4929894;-46.6715275;R. Prof. Dário Ribeiro, 670 - Vila Prado, São Paulo - SP, 02675-031, Brazil
